ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,343.60,128,13.88,52184460
4096,2048,398.28,128,13.73,80373132
6144,2048,372.29,128,12.99,108561804
8192,2048,388.66,128,13.49,136750476
10240,2048,382.45,128,13.40,164939148
12288,2048,378.90,128,13.34,193127820
14336,2048,374.78,128,13.29,221316492
16384,2048,372.60,128,13.32,249505164
18432,2048,369.23,128,13.23,277693836
20480,2048,365.68,128,13.13,305882508
22528,2048,362.50,128,13.06,334071180
24576,2048,358.96,128,12.97,362259852
26624,2048,355.54,128,12.89,390448524
28672,2048,352.64,128,12.80,418637196
30720,2048,349.45,128,12.71,446825868
32768,2048,346.33,128,12.34,475014540
