ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,399.80,128,13.94,52184460
4096,2048,396.29,128,13.82,80373132
6144,2048,390.78,128,13.77,108561804
8192,2048,385.93,128,13.61,136750476
10240,2048,380.11,128,13.55,164939148
12288,2048,376.09,128,13.49,193127820
14336,2048,372.05,128,13.43,221316492
16384,2048,369.58,128,13.47,249505164
18432,2048,365.77,128,13.40,277693836
20480,2048,362.23,128,13.35,305882508
22528,2048,358.73,128,13.28,334071180
24576,2048,354.91,128,13.18,362259852
26624,2048,352.62,128,13.12,390448524
28672,2048,349.08,128,13.03,418637196
30720,2048,346.40,128,12.95,446825868
32768,2048,343.26,128,12.58,475014540
